A: 	er zitten bovenop het beker een zo'n dinge zo'n trapezium zegmaar 
A: 	en aan de zijkant rechts zitten twee staaf 
A: 	even groot twee vierkant stuk zegmaar 
A: 	ja 
B: 	ja ja 
B: 	ja 
B: 	dat zijn bij mij n 
A: 	ja 
A: 	ja 
A: 	veertien 
B: 	deze hebben aan de rechterkant twee staaf onder elkaar bovenop een één kom die op zijn kop staan 
B: 	of lampenkap ja ja 
B: 	ja 
B: 	ja 
A: 	twee even groot staaf aan de rechterkant van het dinge 
A: 	bovenop een trapeziumme 
A: 	en en dan nog een streepje en nog iets eronder 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	zoiets 
B: 	dat zijn e 
B: 	rechts twee staaf boven elkaar en de op zijn kop of de lampenkap de lampenkap 
A: 	nog een staart aan de onderkant 
A: 	oké dan denken ik dat ik hem net een fout hebben doen 
A: 	vijfteen 
B: 	ja dat zijn m 
A: 	twee gelijk balk aan de rechterkant 
A: 	aan de bovenkant zo'n 
A: 	trapeziumpje 
B: 	de twee staaf rechts en de lampenkap bovenop 
A: 	ja 
A: 	ja 
A: 	twee , en aan de ander kant zitten nog een staart 
A: 	ja 
A: 	dertien 
