B: 	ja en aan de voorkant een vierkant staaf 
B: 	D 
A: 	ok deze dus je hebben gewoon weer dat beker Standaard Bekervormpje en er liggen een bolle bovenop 
A: 	met een rechthoek aan de voorkant recht naar beneden ? en twee van die haken als een soort armpjes aan de zijkant 
A: 	ja maar dat zijn volgens mij nu omdat ze dat rood rechthoek vierkant er omheen hebben zetten dat de helft van het plaat er half zijn afgeknipt 
A: 	maar ja nee in ieder geval die zijn nu in dit geval zijn hij kort dan zijn de een dus linkerkant zijn lang dan rechts ja 
A: 	ok 
B: 	oké dit zijn diegene met die staaf aan de voorkant weer met dat bollet bovenop 
B: 	we hebben hem al hebben 
B: 	met ja met die dinget aan de zijkant 
A: 	ja ja dat zijn vijftien bij mij 
B: 	ja met de vierkant statief 
B: 	de een pullup ik ik zien het wel als een een basketbal laten maar zeggen 
B: 	weten je wel dat je dat bolle als de basketbal in het theekop doen 
B: 	basketbal 
B: 	L 
B: 	de basketbal 
B: 	ja ja 
B: 	de basketbal 
A: 	dit zijn die met die bal bovenop en die rechthoek aan de voorkant met die twee ongelijk arm 
A: 	ja ja dat zijn nummer zes 
A: 	dit zijn met die bal bovenop rechthoek voorkant en die twee ongelijk arm 
A: 	ja dat zijn nummer drie 
