B: 	hier zitten een vierkant plaat tegen het kop aan drukken 
B: 	en er steken twee van die kubus die groot worden aan de linkerkant uit en aan de bovenkant zitten ook nog een plaa met een cirkel erop 
A: 	en 
A: 	ja 
A: 	en zitten 
A: 	ja zitten er ook een vierkant vlak voor 
A: 	ja oké ja 
A: 	dat zijn twee 
B: 	ja dat zijn G 
B: 	deze hebben die vierkant plaat er zo op plken en de groot worden kubus aan de linkerkant 
B: 	en aan de bovenkant 
A: 	er zitten een vierkant vlak voor er zitten een paddenstoel op 
A: 	en een vierhoek die steeds klein worden 
A: 	vierkant 
A: 	ja 
A: 	ah met de plaat aan de voorkant 
A: 	oké 
A: 	dat zijn negen 
B: 	ja dat zijn D 
B: 	bij deze zit weer dat vierkant ertegenaan plakken 
B: 	en twee van die kubus aan de groot worden kubus aan de linkerkant 
B: 	en nog zo'n kegeltje eruit steken 
A: 	en er zijn een plaat voor 
A: 	aan de voorkant en er zitten een paddenstoel op 
A: 	heel delicaat 
B: 	dat zijn B 
A: 	ach de paddenstoel 
A: 	en de plaat 
A: 	dat zijn één 
A: 	zitten een plaat voor er zitten een paddenstoel op 
