B: 	o 
B: 	ik denken dat ik weten welk je bedoelen dat zijn bij mij F 
B: 	dan moeten ik op de geel drukk 
A: 	oké nou nu hebben ik een rood vierkant en ik hebben er één ik vinden hem zelf een beetje op een ik moeten doen me denken aan een kannibaal met een neus en dan zo'n groot spie erdoor 
A: 	oké top nou dan zijn we er al snel uit 
A: 	top 
A: 	met dat ding door zijn neus 
A: 	maar waar zijn die ? waar zijn die ? daar zijn die 
A: 	nummer vijf 
B: 	dit zijn de een met de neuspiercing 
B: 	ok bij mij D 
B: 	o of o 
B: 	ja 
B: 	oepsie o wat dom 
A: 	nou weer de kannibaal met de 
A: 	met de piercing 
A: 	top 
A: 	met de piercing 
A: 	nummer vijf 
B: 	even kijken o daar A 
B: 	ik weten niet welk ok ja 
B: 	maken niet uit 
A: 	nou dit zijn weer de de de inboorling met de 
A: 	ja 
A: 	top 
B: 	o dit zijn de neuspiercing 
B: 	ok 
A: 	chill vijftien 
B: 	even kijken waar die o daar H 
B: 	ja je drukken automatisch 
B: 	dit zijn de neuspiercing 
B: 	ok bij mij I 
