A: 	rood 
A: 	ja 
A: 	en dan met een driehoek onderaan 
A: 	oké 
A: 	oké welk zijn die 
A: 	C vier 
B: 	oké 
B: 	deze dit ding staan zeggen maar veel op een driehoek 
B: 	en dan zijn het dat ding waarop die staan zijn een beetje draaien 
B: 	zeggen maar aan de onderkant hebben je als basis zo'n driehoek 
B: 	ja 
B: 	boven blok 
B: 	ja 
A: 	draaien 
A: 	met het draaien draaien been voet 
A: 	de spiraal ja 
A: 	achten 
B: 	ja klopt dat denken ik ook al ja 
B: 	A 
A: 	ja 
A: 	K tien 
B: 	het zijn weer die beker zeggen maar die op zo'n driehoek staan 
A: 	draaien voet 
A: 	twee 
A: 	yes 
B: 	ja jij moeten drukken 
A: 	ja 
A: 	E vier 
B: 	ja 
B: 	L 
A: 	Spiraalvoet 
A: 	twee 
B: 	weer die trofee op de driehoek 
B: 	F 
