A: 	ik hebben aan de rechterkant een uitsteeksel wat balkvormig zijn en aan de aan de daarna of aan de uitein een soort bol 
A: 	die zijn aan de linkerkant ook al dan zijn hij kort 
A: 	en achterop staan nog een ja een soort plaat staan daar schuin op monteeren 
A: 	die staan aan de achterkant aan de links achterkant 
A: 	ja 
A: 	ja 
A: 	tien 
A: 	ik hebben die twee die dat zonnepaneel 
B: 	hebben hij aan de rechterkant twee staaf 
B: 	een soort gieter 
B: 	oké ja dat zijn dat zijn K 
A: 	ja 
A: 	even zoeken vijfteen 
A: 	ik hebben die een met het zonnepaneel 
B: 	dit zijn die soort gieter 
B: 	links en rechts ja een staaf met een bolle eraan 
B: 	ja en daar achter 
B: 	ja 
A: 	ja 
A: 	een 
B: 	ja 
B: 	en een vierkant erachter achter ja B 
B: 	dit zijn de gieter 
B: 	links en rechts ja 
B: 	ja links en rechts twee van die 
B: 	ja een bolle 
B: 	zo'n 
B: 	nee 
B: 	deze hebben links en rechts twee ding en een rond eraan 
B: 	ja 
B: 	ja 
B: 	oké 
B: 	ballet eraan , ja 
B: 	F 
B: 	de gieter 
B: 	die twee ballet rechts 
B: 	ja twee van die uitsteeksel , links en rechts , zitten een balle aan vast 
B: 	die gieter , 
B: 	ja 
