B: 	ik hebben nou een plaa met zo'n een bol aan de voorkant zeggen maar 
B: 	en dan hebben je één aan de bovenkant een recht staaf en een staaf dat een beetje lijken op één bowlingpin zeggen maar 
B: 	en dan steken er aan de linkerkant nog een een driehoekje uit 
B: 	dat 
A: 	ok 
A: 	ok dan zijn het veertien 
A: 	deze hebben een neus er zitten twee dinget in het kop één rechthoekje en één ja 
A: 	beetje gekkig figuur en aan de zijkant zitten nog een soort driehoekje wat in Driehoekvorm lopen 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij zijn dat N 
A: 	ja 
A: 	er zitten ook nog één ander ding zo'n driehoekje ja negen 
B: 	nou hebben ik weer die een met dat bolle aan de voorkant zeggen maar en dan hebben je zo'n het één 
B: 	recht staafje zeggen maar en dan zo'n soort van Bowlingpin weer aan de bovenkant die erin zitten en dan nog zo'n driehoekje wat er uit steken 
A: 	ja deze hebben een neus niet met die ding stang er doorheen met twee ding in het kop zeggen maar die wel verschil en die driehoek aan de zijkant 
A: 	ja zijn vijf 
A: 	dit zijn met de neus niet met de staaf er doorheen met twee van die lepelt erin die wel verschillen 
B: 	ja 
B: 	ja bij mij zijn het G 
B: 	weer met dat rond aan de voorkant en dan zo'n in een rechthoek zo die erboven uitsteken en ook in zo'n soort van bowlingpin 
B: 	ja 
B: 	oké 
B: 	dat zijn bij mij J 
