A: 	ja 
A: 	ik noemen het een trofee 
A: 	kunnen je zijn dat vergelijkbaar 
A: 	oké met zo'n met zo'n vierkant blok dan een beetje rechts Bovenin 
A: 	oké 
A: 	dat zijn vier 
B: 	oké 
B: 	deze dit ding staan zeggen maar veel op een driehoek 
B: 	en dan zijn het dat ding waarop die staan zijn een beetje draaien 
B: 	zeggen maar aan de onderkant hebben je als basis zo'n driehoek 
B: 	ja 
B: 	boven blok 
B: 	ja 
A: 	dit zijn de trofee of de gek wasbak 
B: 	ja klopt dat denken ik ook al ja 
B: 	A 
A: 	dat zijn tien 
A: 	de trofee 
B: 	het zijn weer die beker zeggen maar die op zo'n driehoek staan 
A: 	dat zijn vier 
A: 	dit zijn de trofee 
B: 	ja jij moeten drukken 
B: 	ja 
B: 	L 
B: 	weer die trofee op de driehoek 
B: 	F 
