B: 	dit zijn die bokaal zeggen maar met dat ding aan de onderkant 
B: 	waar die op kunnen bijstaan 
B: 	je weten wel zo'n prijs die je krijgen 
A: 	ja 
A: 	en nog een driehoekje twee driehoeken bovenop en dan daar 
A: 	okee 
A: 	dat zijn negen 
B: 	m 
B: 	de bokaal of het wijnglas 
A: 	deze staat zeggen maar op een statief 
A: 	met een soort verdraaien hals en een blok aan de rechterkant en een blok in het midden en een uitlopen vorm aan de linkerkant 
B: 	met ijsblok 
B: 	f 
B: 	het lijken wel zo'n cocktail 
B: 	de bokaal slash wijnglas 
B: 	f 
A: 	ja 
A: 	ja 
A: 	ja dat zijn acht 
A: 	dit staan op een statief met een draaien hals 
A: 	statief wat 
A: 	ja 
A: 	ja dertien 
A: 	wc nee niet wc 
A: 	ja nu denken ik opeens dat zijn ook een wc 
A: 	draaien statief met draaien hals 
