A: 	ja deze doen mij een beetje beetje denken aan zo'n dansend poppe die zeggen maar zo doen 
A: 	dus ja hij hebben zeggen maar aan de onderkant zo'n ding en aan de zijkant zo'n ding en dan best wel een lang ja neus denken ik en dan op zijn hoofd ook nog een hoed ja niet een hoedje maar 
A: 	ok chill 
A: 	bij mij zijn dat drie 
B: 	ja ik noemen het altijd Pinokkio met hand 
B: 	ja 
B: 	ja 
B: 	hij lijken hij kijken ook naar rechts 
B: 	en hij hebben zeggen maar een een staafje als neus en inderdaad er zitten een soort van pijl door zijn hanenkam 
B: 	ja 
B: 	dan hebben we het over M 
B: 	M driepoot 
A: 	ja bij mij zijn dat negen 
A: 	dit zijn die dans 
A: 	zes 
B: 	dit zijn Pinokkio met het dinge door zijn hanenkam met de pijl door zijn hanenkam 
B: 	met zijn hand zo omhoog ook zo'n 
B: 	ja precies 
A: 	even kijken waar die staan ja zijn elf bij mij 
B: 	pinokkio met de met een een soort van pijl door zijn 
B: 	met arm 
B: 	ja 
B: 	en een pijl door zijn hanenkam 
B: 	dan gaan het om H 
A: 	o nee bij mij niet ok dit zijn het danspoppe 
A: 	ja achten bij mij 
A: 	veertien bij mij 
B: 	dit zijn Pinokkio met het dinge door de hanenkam 
B: 	met het pijlt erdoorheen 
B: 	dan worden dat nummer D 
B: 	dit gaan om Pinokkio met de hanenkam en de pijl erdoorheen 
