A: 	ik hebben nu één die basisvorm met een bol hier of wachten even een bol hier voor jou en dan zitten aan de ander kant zitten zo'n paal naar beneden 
A: 	en daar zitten zo'n arm aan 
A: 	ja aan de voorkant 
A: 	ja 
A: 	van die 
A: 	ja 
B: 	ja 
B: 	ja en hij hebben een soort van twee armp aan de zijkant dan zijn het d 
B: 	ik moeten klikken toch ja 
A: 	ja ze veranderen 
A: 	nu weer 
A: 	oké 
A: 	ja vijftien 
B: 	hij hebben zegmaar een bolle bovenop en twee van die armp en een vierkant pilaar aan de voorkant 
A: 	dit zijn degeen met de armp en de balle bovenop en de stok aan de voorkant 
A: 	ja 
A: 	even kijken horen 
A: 	ja 
A: 	nummer zes 
B: 	pilaar 
B: 	L 
B: 	zegmaar bolle bovenop twee armp en pilaar aan de voorkant 
A: 	dit zijn degeen met de paal aan de voorkant het ballet erbovenop en de armpjes 
B: 	J 
A: 	met die peil ervoor 
A: 	sorry ja 
A: 	nee dat maken me niet uit ja drie 
B: 	met die armp bolle bovenop en pilaar aan de voorkant 
