B: 	ja 
B: 	soort van hengel uitsteeksel 
B: 	p 
A: 	deze hebben het kop zitten vast aan een balk 
A: 	en zitten wat hoog 
A: 	en die hebben een balle 
A: 	op zijn hoofd 
A: 	of half in het kop 
A: 	en die hebben de linkerarm die een beetje zo doen en de Rechteram zijn half afsnijden lijken het wel 
A: 	alsof die niet op de foto zitten laten we het zo maar zeggen 
B: 	deze hebben we al hebben er zitten bovenop zitten er een bal 
B: 	aan beide kant komen er twee soort van handvaten uit 
B: 	en voorop zijn er een lang rechthoekig ding 
B: 	ja 
A: 	ja dat zijn nummer dertien 
B: 	ja 
B: 	J 
B: 	deze hebben een bal bovenop 
B: 	en twee handvat soort van die eruit komen 
B: 	en er zitten een staaf voorop 
A: 	deze we kunnen het een treehugger noemen nee 
A: 	hij lijken net of hij vastzitten of één of een stok gaan omhelzen met een bal op zijn hoofd 
A: 	dat zijn met die houten stok 
A: 	en dan zitten het kop iets hoog 
A: 	en een houten blok 
A: 	ja dat zijn nummer drie 
B: 	ja J 
B: 	dit zijn die met die bal bovenop twee handvaten aan de aan de beide kant en een staaf voorop 
A: 	deze deze hebben met dat balkje en dat dan zo om dat balkje heen gaan 
A: 	en een ei 
A: 	waar zitten je 
A: 	dat zijn nummer acht 
