B: 	ja 
B: 	en iets aan de onderkant en één cilindert naar link 
B: 	ja ja ja 
B: 	dat zijn bij mij zijn dat J 
B: 	dit zijn die met die piramide op dat hoofd 
B: 	en die een fles aan de links kant 
A: 	zo 
A: 	dan hebben ik de koffiemok met een piramidedriehoekachtig aan de bovenkant 
A: 	en aan de voorkant zitten een flink blok wat aan de een kant wat schuin lopen twee kant misschien 
A: 	aan de onderkant zitten een links een wat rond vorm 
A: 	en er zitten nog een uitsteeksel links halverwege 
A: 	ja 
B: 	ja dat zijn bij mij E 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer zes 
B: 	dit zijn met de kegel bovenop en het fles aan de links kant 
B: 	piramide soort bovenop 
B: 	waar zijn je 
B: 	ja dat zijn G 
A: 	punthoofd 
A: 	raar blok aan de voorkant 
A: 	ja 
A: 	oké 
B: 	de driehoek op het hoofd en het fles aan de links kant 
A: 	ja 
A: 	nummer tien 
A: 	punthoofd 
A: 	ja 
A: 	ja 
A: 	nummer tien 
