A: 	ja vijf 
B: 	ah waarom krijgen ik al moeilijk okee deze dit kop staan op een op iets op één op een plat plateauachtig idee er zitten een oor aan alleen die zijn een een kwart draaien ja een kwart draaien en zijn los van het kop 
B: 	en er zitten een rij aan ruit die er achterlangs gaan doorheen gaan 
B: 	ja precies 
B: 	en een een soort draaien appel aan de voorkant 
B: 	ja met een klein steel eraan 
B: 	okee 
A: 	dit zijn die met dat rond schijf aan de voorkant en die met die aan er doorheen drie klein driehoek 
A: 	ja kraal 
A: 	ja zeven 
B: 	ik zullen hem zelf omschijven als een wcrolhouder maar 
B: 	ja dat zijn l 
A: 	dit zijn de kralenketting 
A: 	achten 
B: 	deze hebben de kraal 
A: 	dit zijn de kralenketting 
B: 	dat zijn l 
B: 	dit zijn de kraal 
B: 	dat zijn e 
