B: 	ok dit hebben een vierkant vlak aan de voorkant en er zitten een soort van spijker achtig dinge op 
B: 	en aan de linkerkant zitten twee van die ja blok die steeds klein worden 
A: 	ja 
A: 	en een soort paddenstoelachtig iets erbovenop 
A: 	ja 
A: 	oké dan zijn het twee 
B: 	ja dat zijn G 
B: 	ok ja dit zijn ook weer met een soort van spijker aan de bovenkant niet dezelfde en dan met die vierkant die steeds klein worden en een vierkant vlak ervoor 
A: 	dit zijn degeen met twee verrekijker en een soort paddenstoel op zijn hoofd 
A: 	en een soort van scherm aan de zijkant 
B: 	twee van die vierkanut aan de zijkant die klein worden 
A: 	Paddenstoel 
A: 	ja dat zijn negen 
B: 	ja dat zijn D 
B: 	ja dit zijn met die spijker en dat vierkant vlak voor en die twee ding die zo klein worden 
A: 	dit zijn de verrekijker met de paddenstoel erbovenop 
B: 	ja dat zijn B 
A: 	ja dat zijn één 
A: 	dit zijn de verrekijker met de paddenstoel erbovenop 
