A: 	even kijken rond voorop 
A: 	ja twee ding die boven uitsteken en één links of wat 
A: 	en dan één wat uitsteken zijn 
A: 	ja oké ja ik noemen het als een soort ik hebben hem beschrijven als een indiaan volgens mij zo'n indianentooi een beetje 
A: 	ja 
A: 	veertien 
B: 	nee ? 
B: 	oké nou we gaan gewoon ver 
B: 	nou dit lijken echt zeggen maar een poppe met zo'n groot neus er zitten zo'n voorop zo'n groot bol cirkel 
B: 	alleen dan zonder piercing erdoorheen dus boven een dinge 
A: 	ik dit noemen ik de indiaan jij hebben het volgens mij ook als theekopje met die gek ja met dat staafj de die vierkant 
A: 	ja rond neus voorop vierkant staaf bovenop en daarnaast dat gek tekent 
B: 	ja een bol een bol neus voorop 
B: 	de bol neus zonder piercing 
B: 	met boven een balk aan de linkerkant een balkje 
B: 	oké dat zijn N 
A: 	de indiaan 
A: 	ja 
A: 	dat zijn negen 
B: 	een bol neus 
B: 	bovenop een soort kegel 
B: 	en een rechthoekje en aan de ander kant een soort ook iets 
B: 	ja de neus zonder piercing 
A: 	de hoe de indiaan 
A: 	met de neus voorop ja 
B: 	neus zonder piercing met hier en hier 
B: 	dat zijn G 
A: 	de indiaan die hebben we 
A: 	dat zijn vijf 
B: 	dit zijn de neus zonder piercing met boven een dinge aan de zijkant 
A: 	de indiaan 
B: 	piercing zonder neus dat zijn J 
