B: 	oké ik hebben één met een rond voorop 
B: 	en dan twee dinget die erboven uitsteken en één die er link uit steken 
B: 	dus een beetje zoals die neuspiercing die je net hebben alleen dan zonder de piercing zelf zonder die 
B: 	ja 
B: 	één die rechtop eruit steken en één die iets schuin naar links met een apart vorm laten maar zeggen een soort ruit 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	ja en dan hebben je één of rechthoek en nog sies ja of ja ja zoiets daar 
A: 	ja 
A: 	nummer veertien 
A: 	ja dit zijn eigenlijk ook weer zo'n met zo'n neus en dan eigenlijk met een recht rechthoekig blok omhoog en die diamant achtig gebeuren 
A: 	en met een staafje aan de zijkant 
A: 	ja 
A: 	ja ja 
B: 	ja ja ja met die rond ding voorop 
B: 	ja 
B: 	ja 
B: 	N 
B: 	de indiaan 
B: 	met de met de neus 
A: 	maar die ander 
A: 	ja 
A: 	die dat balkje of zoiets 
A: 	ja dat zijn dan nummertje negen 
B: 	oeh ja met de neus voorop 
B: 	G 
B: 	dit zijn de indiaan 
B: 	met dat rond voorop 
A: 	even kijken ja dit zijn die dan ja ook met met die neus zeggen maar maar niet niet doorboirden maar dan hebben je er met zo'n rechthoek bovenop en die omgekeerd 
A: 	kegel en aan de zijkant steken 
A: 	ja ja ja 
A: 	zijn nummer vijf 
A: 	ja dit zijn die met met weer met de neus zeggen maar dat bobbel aan de voorkant en met zo'n blok omhoog en die omgekeerd kegel huppeldepup en dan iets aan de zijkant 
