B: 	ja 
B: 	ja 
B: 	en dan hebben je aan de voorkant nog een soort van vierkant verrekijker die je uitklapt die piraat gebruiken 
B: 	ja 
B: 	E 
A: 	ok deze hebben zo'n soort joystick achtig ding bovenop zitten 
A: 	zo'n beetje zo'n ovaal met een soort dat telescoopachtig ding met die klein blok die steeds groot worden beetje rechts vooraan 
A: 	en dan links vooraan weer zo'n joystick die naar buiten steken en aan de achterkant zo'n soort worm staafje 
A: 	ja ik hem de heel tijd tijdens die ander test noemen alsof hij zo'n soort telescoopoog hebben omdat hij aan de voorkant zo'n 
A: 	telescoopding hebben je hebben hebben dat plaat met die die een beetje op zo'n robot lijken die hebben twee van die ding als een soort oog en deze 
A: 	ja precies maar deze hebben er één 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja ja zo'n gek aanhangsel ja 
A: 	dus het zijn die met die met dat een een telescoop ding ja 
A: 	ok 
B: 	oeh niet zo net doen 
B: 	dit zijn diegene met twee dezelfde één bovenin zijn hetzelfde als aan de linksvoor die eruit komen 
B: 	rechtsvoor hebben je die verrekijker en achter hebben je nog zo'n slurfje 
B: 	weten ik niet veel 
B: 	oké Bovenin hebben je dus rechtop ja een soort de uiteinde van een schroevendraaier 
B: 	en dan hetzelfde linksvoor 
B: 	en dan hebben het rechtsvoor zo'n vierkant die uitsteken 
B: 	als een soort verrekijker die piraat ook hebben 
B: 	en dan achter deze hebben jij beschrijven volgens mij 
B: 	nee nee dat zijn niet deze 
B: 	het hebben in totaal het theekop laten maar zeggen hebben in totaal vier uitsteeksel 
B: 	boven linksvoor rechtsvoor en linksachter 
B: 	nee 
B: 	nee 
B: 	het zijn echt als je een schroevendraaier hebben 
B: 	het uitein daarvan waar je je hand het handvat laten maar zeggen zo zo zien het er ongeveer uit 
B: 	en daar hebben je er twee van 
B: 	boven en linksvoor hebben je die 
B: 	ja weten je nog die vierkant de vierkant 
B: 	het beginnen met bij een theekop met een klein vierkant en dan zitten er een iets groot vierkant aan een nog iets groot vierkant aan en nog een groot vierkant aan 
B: 	en dat zitten aan rechtsvoor 
B: 	ja 
B: 	oké 
B: 	oké 
B: 	ja 
B: 	Piet Piraat 
B: 	ja 
B: 	vijzel ja oké nee zijn goed vijzel ja kloppen 
B: 	vijzel ja 
A: 	ja en dat wormp aan de achterkant ja dat zijn elf 
B: 	ja 
B: 	J 
B: 	ja J 
B: 	de vijzel 
A: 	ja dit zijn die met die een telescoop en één zo'n joystick 
A: 	er bovenuit en dan één links en dat raar wormp erachter ja 
B: 	ja 
B: 	B 
B: 	dus de de vijzel 
B: 	ja 
A: 	ja ja dat zijn nummer negen 
A: 	dit zijn met die een telescoop en die twee pennet bovenop aan de zijkant en die dat wormding aan de achterkant 
A: 	dat zijn vier 
