B: 	ja deze hebben een plaat die op de grond zitten 
B: 	ja 
A: 	ja 
A: 	een soort van 
A: 	ja 
A: 	een soort van zijn dat dat dat dienblad met een kop met een soort van earplug in 
A: 	ja ja 
A: 	dan zijn het numero vijf 
B: 	dat zijn J 
B: 	die met dat plank onderaan 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	dit zijn dit zijn wat jij noemen de professor 
A: 	dus met die ding in de oor 
A: 	ja 
B: 	die met dat plank onderaan 
A: 	de 
A: 	ja 
A: 	ik zoeken hem even op ja dat zijn numero elf 
B: 	L 
A: 	de professor 
A: 	de professor dat zijn dan numero negen 
A: 	ja jou professor 
