B: 	ja ik vinden het ik wat het zijn 
B: 	er zitten aan de linkerkant twee van die blok die of steeds groot worden of steeds klein worden afhankelijk van hoe je het zien 
B: 	en een groot vierkant plaat aan de voorkant en een antenne 
A: 	ja 
A: 	ik denken dat ik weten welk je bedoelen 
A: 	een joystick 
A: 	ja ja ja 
A: 	ja 
A: 	ja dat zijn nummer twee bij mij 
A: 	en dan hebben die zo'n plaat aan de zijkant toch 
A: 	ja 
A: 	die die verrekijker met die met die plaat die gamer 
B: 	die klein worden 
B: 	ja precies 
B: 	G 
A: 	ja dat zijn negen 
B: 	dit zijn weer met die antenne bovenop en die vierkant plaat ervoor en dan de vierkant die groot worden 
A: 	die met die verrekijker die gamer 
B: 	oké 
B: 	D 
A: 	ja dat zijn nummer één 
B: 	dit zijn weer met die die klein worden blok helemaal link 
B: 	twee 
B: 	en dan zo'n vierkant plaat voor en een antenne bovenop 
A: 	die met die verrekijker die gamer 
B: 	ja 
B: 	B 
