B: 	oké begin of het zijn het bakje en het bak staan op een soort van Swirly dingetje 
B: 	en dat Swirly dinget zitten op een driehoekje 
B: 	ik vinden het net een robot die naar boven komen zeggen maar draaien 
B: 	oké 
A: 	ja dat kunnen er maar één zijn 
A: 	dat zijn vier voor mij 
B: 	ja 
B: 	ja ja ja ik hebben hem 
B: 	ja 
B: 	A 
A: 	dit zijn degeen met de spiraal aan de onderkant en dan een driehoek 
A: 	ja 
B: 	het fancy cocktailglas 
A: 	ja 
A: 	dat zijn tien voor mij 
B: 	ja 
B: 	letter L 
A: 	dit zijn die met de wokkel aan de onderkant en dan de driehoek 
A: 	ja dat zijn vier voor mij 
B: 	cocktailglas 
A: 	dit zijn de met de wokkel onderaan 
B: 	yes 
B: 	letter F 
