B: 	ja en dan 
B: 	ja en twee bollet op de 
B: 	oké ja 
B: 	K 
A: 	ja dit zijn ook eigenlijk zo'n ovaal ding waar aan de zijkant twee ronde ja staaf achtig gebeuren er uit komen 
A: 	en dan aan de achterkant hebben je nog een vierkant blok wat er tegenaan zitten 
A: 	even kijken 
A: 	ja als in ja je hebben eigenlijk zo'n kegel zeggen maar en dan hebben je aan iets erboven hebben je zo'n soort vierkant gebeuren en dan lopen er nog iets achterlang 
A: 	staaf er dwars doorheen gaan ja die ja 
A: 	ja ja en dan dat plateautje hebben dan nog een hangsel er achter ja 
A: 	ah ok ja dit zijn dan numero negen 
B: 	dit zijn met die staaf die door het mokje heen gaan maar aan de linkerkant iets weinig dan aan de rechterkant 
A: 	ja dit zijn weer die die koker zeggen maar waar er waar er waar zo'n buisje helemaal doorheen doorgaan en aan de achterkant hebben je dan eigenlijk zo'n inklapbaar klep zeggen maar 
A: 	ja 
A: 	ja 
A: 	ja ja ja ja 
B: 	ja 
B: 	ja 
B: 	F 
B: 	dit zijn weer met die staaf erdoorheen en dan aan de linkerkant een klein stuk dan aan de rechterkant 
A: 	verschuiven 
A: 	ja ja ik hebben hem vinden 
A: 	dat zijn dan nummertje drie 
B: 	link iets weinig en rechts iets veel 
B: 	L 
A: 	ja dit zijn die die cilinder die eigenlijk onderin doorgaan met die bobbelt er op en die inklapbaar klep of wat wel lijken 
B: 	dit zijn weer die staaf die link iets weinig erdoorheen opsteken en rechts iets veel 
A: 	ja ja 
A: 	ja ik zitten hem even te zoeken zeggen maar zeggen maar met die met die die klep zeggen maar bovenop hè ? ja ja 
A: 	o daar staan hij nummer vijf 
