A: 	hebben jij het rood vierkant 
A: 	oké 
A: 	ja zijn dat bij dat ding wat daarbovenop zitten lopen dat een beetje ovaal en dan zo dunn naar boven 
A: 	oké dan weten ik welk het zijn denken ik 
A: 	ja zo'n 
A: 	ja oké 
A: 	ik moeten nu het nummer zeggen toch 
A: 	en dan op geel 
A: 	oké nummer dertien 
B: 	er het zijn een ik noemen het dan een pot of een ja een theekop 
B: 	en hij hebben één staafje aan de linkerkant 
B: 	en onder de pot zitten ook nog een soort balkje aan vast 
B: 	en aan de achterkant zitten een cirkel 
B: 	voor de helft 
B: 	en nog een soort van roerstaafje zitten er in het bak 
B: 	ja kloppen 
A: 	ja dit vinden ik een beetje lijken op een steelpanne met een lepel erin 
A: 	maar dat zijn dat een die we ook al hebben hebben met een beetje die kegel zo er en dat rond erachter 
A: 	en daar waar die op staat en dat dinge aan de zijkant 
B: 	ja 
B: 	ja wat eraan vastzitten zeggen maar 
B: 	met dat balk eronder 
B: 	ja 
B: 	dan zijn het O 
A: 	ja ik zien hem 
A: 	nummer achten 
A: 	dit zijn dat steelpannet 
B: 	dit zijn weer dat theekopje met dat rond aan de zijkant plakken lepeltje en het oort 
B: 	en dat balk 
A: 	ja nummer zeven 
A: 	het steelpannet 
A: 	ik zijn benieuwd 
B: 	ja 
B: 	ja dat zijn C 
B: 	dit zijn weer dat theekopje met dat bolle aan de achterkant of dat rond aan de achterkant 
B: 	ja 
B: 	dat zijn C 
