B: 	okee ja wat wat zien jij 
A: 	ja 
B: 	ik ik moeten jij hebben geen vak okee dus ik moeten uitleggen 
A: 	op het plat kop daarboven 
B: 	okeeen ik zien een een soort van schotel aan de achterkant 
A: 	ovaal 
B: 	en bovenop zien ik een ja een even aan de zijkant zitten zo'n zo'n draaiding 
A: 	even kijken 
A: 	een ovaal kop zijn dat een soort zijn dat aan de rechterkant 
A: 	en aan de linkerkant hebben je een half cirkel 
B: 	weten je wel zo'n zo'n 
B: 	ja 
A: 	ja precies die steken helemaal naar links uit 
B: 	er zitten een schotel aan de achterkant ja dat zijn van dat zijn 
A: 	oké ik hebben hem nummer zestien 
B: 	ja precies 
A: 	bij mij 
B: 	zo er staan nog iets bovenop 
B: 	kegel bovenop 
B: 	precies en aan de zijkant zo'n dinge 
B: 	ja 
B: 	okee 
A: 	oké 
A: 	aan de bovenkant zitten er een plat cirkel en die zien je eigenlijk maar voor de helft 
A: 	die zitten aan de linkerkant op de op het kop laten maar zeggen 
A: 	en aan de rechterkant van het kop zitten een ja soort ovaal vormp 
A: 	ja 
A: 	die steken inderdaad uit 
A: 	top 
B: 	ja ja ja okee dus dus that's it toch ? er zitten voor de rest 
B: 	ja ja nogmaals zo'n soort van een een soort van bakje-achtig bedoeling 
B: 	soort van 
B: 	ja ja ja okee en aan de zijkant 
B: 	ja 
B: 	zo'n half cirkel aan de achterkant 
B: 	ja ja en zo'n kegel die staan echt die staan echt een 
B: 	ja 
B: 	ja precies 
B: 	okee dat zijn h 
A: 	ja nummer vier 
B: 	deze hebben een één een staand bak aan de achterkant 
B: 	en aan de voorkant staan een een bijna vallend kegel 
B: 	en aan de aan de zijkant zo'n zo'n ja één één een een cilinder ook 
B: 	aan de linkerzijkant 
B: 	linkerzijkant een cilinder 
B: 	aan de achterkant een een bak 
B: 	ja dat zijn soms even zuur om om te zoeken 
B: 	ja nou ja ja echt een klein verhoging daar staan hij op inderdaad 
B: 	ja en dan een 
B: 	nee nee ik bedoelen die er vallen bijna een één één één 
B: 	wachten aan de let leggen let op die achterkant 
B: 	daar daar zien je een half een half cirkel een een soort bakje 
B: 	en aan de zijkant hebben je zo'n zo'n aan de linkerzijkant zo'n cilinder 
B: 	ja 
B: 	ja ja dat zijn misschien makkelijk om dat 
A: 	oké dan hebben je het kop , aan de linkerkant hebben je een uitstulpsel , daarboven hebben je een plat cirkel die je maar voor de helft zien 
A: 	en een soort ovaal vormp 
A: 	link 
A: 	ja nummer dertien 
B: 	ja ja ja precies en aan de zijkant nog zo'n 
B: 	ja 
B: 	dat zijn l 
A: 	aan de linkerkant bovenop het kop hebben je een plat cirkel die je maar voor de helft zien , en dan hebben je een soort ovaal vormp aan de rechterkant , en een staaf 
B: 	dit zijn de met het bak aan de achterkant 
B: 	en die kegelt aan de voorkant tot het bijna vallen 
B: 	en aan de zijkant hebben je een een cilinder en hij staan op een verhogink 
B: 	ja 
B: 	ja 
B: 	ja ja n 
