B: 	ja dat zijn bij mij J 
A: 	oké ik hebben nu die een met die driehoek bovenop 
A: 	en die driehoek hebben een beetje raar kleur vinden ik maar 
A: 	ja misschien wel denken ik 
A: 	ja ik denken het wel 
A: 	en dan zitten links nog een soort van raar wervelwolk of zo 
A: 	dat zijn een beetje een raar figuur 
A: 	en dan zitten linksonder nog een soort van schijf en rechts zitten een ja 
A: 	ja ook een raar figuur 
A: 	ik kunnen het niet zo goed 
A: 	ja 
B: 	deze hebben een soort puntig ding erbovenop 
B: 	met dan dat vierkant wat iets dikk of dat blok dat iets dikk worden aan de onderkant 
A: 	ja dat zo uitlopen ding 
A: 	ja 
A: 	ja dat zijn nummer zes 
B: 	ik zijn hem aan het zoeken 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	ja die weer met het met de driehoek bovenop en de dat vierkant dat dikk worden 
A: 	deze hebben die driehoek bovenop en dat soort van wolk wervelwind link 
A: 	en die raar uitstekend vorm rechts en dan weer dat rond link onderaan 
A: 	met een hap eruit zeggen maar 
A: 	wolk dinge 
A: 	ja 
A: 	dat zijn nummer tien 
B: 	G 
B: 	die met de driehoek bovenop en dat blok wat groot worden 
A: 	oké 
A: 	ik hebben nu die een met die driehoek bovenop en dat soort van wolk link 
A: 	ja 
A: 	dat zijn nummer tien 
