B: 	ja J 
B: 	het zijn die met de driehoek erbovenop 
B: 	en die 
A: 	oké dit zijn degeen met de piramide op zijn hoofd 
A: 	ja zijn echt een punt gewoon 
A: 	er zijn geen ander 
A: 	ja hebben een heel groot blok voor zich nog zeggen maar zo'n raar neus en staan op wielt soort van 
A: 	ja 
B: 	ja vinden E 
A: 	ah 
A: 	ja 
A: 	op wielet en zo de piramide 
A: 	ja 
A: 	nummer zes 
B: 	het zijn de driehoek erbovenop 
A: 	zijn de Piramidekuif 
B: 	ja bij mij staan die daar ook het zijn G 
A: 	ja 
A: 	op wielt 
A: 	oké 
A: 	nog event controleren dan weten je wel 
A: 	dat zijn nummer tien 
B: 	het zijn die driehoek 
B: 	ja Sorry 
A: 	de piramide 
A: 	op wielet 
A: 	ja 
A: 	nummer tien 
