A: 	precies diezelfde 
A: 	volgens mij als degeen die ik nu moeten omschrijven 
A: 	met de schijf erdoor ja door het rond heen en dan een soort van ja veer of lepel erboven 
B: 	ja 
B: 	ik zien hem 
B: 	dat zijn bij mij F 
A: 	ja even kijken waar die in principe ja dat zijn vijf 
A: 	dit zijn degeen met de piercing erdoorheen 
A: 	de piercing 
A: 	vijf 
B: 	deze hebben een bolle aan de voorkant met nog een vierkant staaf doorheen 
B: 	met daar weer een plat ronde ding eraan 
B: 	en dan een pluimp bovenop 
A: 	dit zijn met de piercing 
A: 	ja 
A: 	vijftien 
B: 	en 
B: 	dat zijn A 
B: 	dit zijn die met het bollet aan de voorkant met die staaf erdoorheen 
B: 	en het pluimp 
B: 	ja 
B: 	ja even kijken waar die zijn 
B: 	ah ja dat zijn h 
B: 	dat zijn met die bollet aan voorkant en dan met die vierkant staaf erdoorheen 
B: 	door het bolle en het pluimp 
