A: 	ja dit vinden ik eruitzien als een koffiekop met een bijzettafel erlangs zullen ik maar zeggen een zo'n rond dinge erlangs en dan een raar uitstekend nier die er zo 
A: 	dat ding 
A: 	negen 
A: 	ja precies ja ja ja 
A: 	die 
A: 	die zeggen maar door met het wachtn even je bedoelen die een met dat ding dat nierdinguitsteeksel waar dan die spijker zo op zitten 
A: 	oké 
A: 	ja dat zijn nummer zeven 
B: 	ja 
B: 	ja ja ja ik hebben het de omgekeerd pion noemen 
B: 	oké nee top dan hebben we dan zijn dat L 
B: 	oké dit zijn met de omgekeerd pion 
B: 	ja inderdaad en en dan rechts dat half of ja doorsnijden cilinder 
B: 	ja 
A: 	dit zijn die een met dat bijzettafelt en die spijker 
B: 	ja 
B: 	C 
A: 	ja 
A: 	dat zijn één 
A: 	dat bijzettafelt met die spijker 
B: 	dit zijn de omgekeerd pion 
A: 	nummer dertien 
B: 	oké 
B: 	ja ja ja dat zijn A 
B: 	dit zijn de omgedraai pion 
