A: 	dit zijn dat cilinder hebben bovenop een een ei zeggen maar een rond ei en rechts een een vierkant 
A: 	paal zeggen maar 
A: 	bovenop een rond 
A: 	ja ja 
B: 	ja ik weten welk je bedoelen 
B: 	D 
B: 	dit zijn met een bal bovenaan en die twee armp zo en dan dat ding aan de voorkant 
B: 	ja 
A: 	ja 
A: 	ja die hebben we net ook al 
A: 	die hebben we al hebben toch 
A: 	een keer 
A: 	ja ja 
A: 	nummer vijftien 
A: 	die met dat rond bovenop en die balk aan de zijkant 
A: 	en dan die twee uitsteeksel 
B: 	ja ik weten welk je bedoelen 
B: 	L 
A: 	ja dat zijn nummer zes 
B: 	dit zijn weer met die bal bovenop en die pilaar en de twee armp 
A: 	die met dat rond en dat balkje aan de voorkant 
A: 	rond bovenop 
A: 	balle 
B: 	ja 
B: 	waar zijn die 
B: 	J 
A: 	een blok 
A: 	ja 
A: 	dat zijn nummer drie 
B: 	dit zijn weer met dat bollet bovenop en die twee dun armpjes en de pilaar 
