B: 	ja 
B: 	ja zijn E 
A: 	ja het zijn een beker en dan aan de ja voorkant beetje zijkant zitten dan zo'n vierkant wat steeds 
A: 	groot worden naarmate die verdergaan 
A: 	en bovenop zo'n ja ovaal pluim en aan de zijkant ook en daarachter zitten nog een ja een een rond staaf 
A: 	ja ja 
B: 	deze hebben zegmaar twee van die ballonnet eentjedie boven uitsteken en één die daar links uit steekt en rechts hebben hij zo'n blokkentoren 
B: 	ja 
B: 	ja iets heel geks 
A: 	ja ja 
A: 	dat zijn elf 
B: 	aan de rechterkant 
B: 	ja J 
B: 	twee ballonne er uit één boven één links en dan blokkentoren rechts 
B: 	en dat gek vormp aan de achterkant 
A: 	ja dit zijn die met het het krimpen vierkant aan de rechterkant 
A: 	de pluim aan de bovenkant en aan de linkerkant en achter dat rond staart 
B: 	ja B 
A: 	ja 
A: 	ja dat zijn negen 
B: 	twee ballonnet één boven één link rechts zitten zo'n blokkentoren 
A: 	dit zijn die met dat aan de rechterkant dat groot klein worden vierkant 
A: 	en die twee pluim boven en links en dan dat ander flubber 
A: 	ja 
A: 	ja en het staart 
A: 	dat zijn vier 
