A: 	oké ja dit zijn een een een kop waarbij er een soort van haakje onder zitten 
A: 	een haak aan de zijkant een soort Pinokkioneus naar voren zo'n 
B: 	ja 
B: 	dat zijn bij mij M 
A: 	ja en dan zitten er nog een een een vierkant achter waar ook weer iets uit komen 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die raar die zo'n hengsel van onder hebben van de zijkant en die hebben dan van achter hebben die een vierkant waar ook weer iets doorheen zitten 
A: 	ja ja dat ja ik ik zien hem 
A: 	even kijken ja ja ja ja 
A: 	ja met dat vierkant waar ook weer dan wat in zitten achterin ja 
A: 	elf 
B: 	dit zijn die aan de rechtervoorkant hebben die zo'n rond staaf 
B: 	als soort van neus en aan de onderkant hebben die zo'n vierkant haak 
B: 	en rechts ook 
B: 	en dan bovenop hebben die een diamantvorm met die kubusding erdoorheen 
B: 	ja 
A: 	dit zijn degeen met het vierkant achter met waar waar weer wat doorheen zitten en 
A: 	zeggen maar het potlood van voor en het haak beneden en het haak hier aan de rechterkant 
A: 	een beetje een wasbak volgens mij 
A: 	ja veertien 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die met diamant aan de bovenkant met die vierkant staaf die klein worden erdoorheen en dan onder 
B: 	haak rechts een haakje en een staaf als neus 
B: 	ja 
B: 	ja ik zien hem al 
B: 	dat zijn D 
B: 	dit zijn die met die diamant aan de bovenkant met die vierkant staaf doorheen 
B: 	die klein worden 
B: 	ja 
