A: 	ja ik denken het heel simpel 
A: 	vier 
B: 	eens even kijken horen dit kop hebben een een staaf bovenop het kop liggen 
B: 	er zitten een soort ja een soort schepje ja autokrabding zitten eraan 
B: 	en er zitten aan de zijkant twee twee ja het zijn een soort het zijn niet echt poot want hij steunen er niet op 
B: 	ik zullen het omschrijven als twee klein raketbooster die de boel omhoog weten te stuwen maar 
B: 	ja 
B: 	nee gewoon een plat staaf 
B: 	en dan aan de voorkant zitten een een staafje langs aan de zijkant met daaronder ja ik noemen het dan een soort schepje 
B: 	ja 
B: 	nee volgens mij niet 
B: 	oef even kijken hoor 
B: 	ja aan de zijkant zijn een soort ja je uitzien hem aan de achterkant die die die rakerbooster waar ik het over hebben 
B: 	ja nou één die zitten helemaal aan de de linkerkant van het kop aan de voorkant en de ander zitten er eigenlijk net achter die kunnen je amper zien 
B: 	maar het zijn je kunnen het ook zien als een soort bloempot die afkapten zijn 
B: 	even kijken horen 
B: 	ja wat 
B: 	dit zijn 
B: 	ja een beetje 
B: 	beetje schuin niet echt 
B: 	zeggen maar hij zitten niet precies in de de lijn van het kop maar hij staan er een beetje schuin op 
B: 	ja en er zitten dus aan de rechtervoorkant net voordat de schaduw van het kop beginnen zitten er een heel klein dun staafje naar beneden 
B: 	en daar 
A: 	dit zijn die beetje simpel zeggen maar met aan de bovenop die rechthoekig 
A: 	ja vier 
A: 	dit zijn die simpel met die rechthoekig staaf bovenop 
B: 	ja even kijken dan moeten ik even zoeken waar staan die waar 
B: 	ja ja ja dat zijn c 
A: 	ja twee 
B: 	deze waar we het net zo moeilijk mee hebben met het het schepje en de 
B: 	ja 
A: 	dit zijn die simpel met de rechthoek bovenop 
B: 	ja eens even kijken dat zijn à 
B: 	dit zijn de theepot slash Raketbooster 
B: 	ja eens even kijken waar staan die waar staan die dat zijn p 
