A: 	ja dat zijn dertien 
B: 	eens even kijken horen deze dit kop staan op een soort draaien poot met een driehoek aan de onderkant 
B: 	ja volgens mij wel 
A: 	deze hebben die cilinder aan de onderkant met die driehoek eronder 
A: 	en twee blok bovenop 
A: 	ja 
B: 	in in de poot 
B: 	yes dat zijn p 
A: 	ja veertien 
A: 	dit zijn de cilinder aan de onderkant met de driehoekje en twee blok bovenop 
A: 	ja 
A: 	even zoeken 
A: 	zes 
B: 	deze hebben de draaien poot 
B: 	met het driehoekje 
B: 	ja 
A: 	dit zijn de met de spiraal en de twee blok bovenop 
B: 	yes dat zijn p 
B: 	dit zijn de draaien poot met driehoek 
B: 	yes dat zijn c 
