A: 	o moeten ik nou weer ? ja ja het hebben een neus een 
A: 	niet een rond zeggen maar maar zo'n hexagon en dan een lang staaf en Bovenin hebben hij 
A: 	een dubbel vierkan waar ook ding uitsteken 
A: 	dubbel vierkan wat er schuin in zitten en aan de onderkant hebben je een soort van vierkan als een soort van glijbaan zijn of zo wat er uit komen 
A: 	ja er uit en 
A: 	ja ja 
A: 	armpje ja 
B: 	ja 
B: 	ja 
B: 	dus zeggen maar dus ja die driehoek die staan bovenop 
B: 	ja 
B: 	ja ja ja 
B: 	ja en dan aan de zijkant staan nog aan de linkerkant ja je hebben zo'n lang ding en dan nog een ook weer zo'n soort bliksemschicht toch 
B: 	ja ja 
B: 	ja 
B: 	dan zijn het ja 
B: 	M 
A: 	waarom zijn het nou opeens allemaal hetzelfde dan 
A: 	ja negen 
B: 	en dit zijn 
B: 	ja dat zijn die met die twee ja ruiten zeggen maar met een piercing of zo'n ja zo'n bliksemschicht erdoorheen zeggen maar 
B: 	ja 
A: 	deze hebben dat vierkan wat schuin zitten waar ding uitkomen en dat glijbaan aan de onderkant 
A: 	ja 
B: 	glijbaan 
B: 	ah 
B: 	I 
A: 	elf 
A: 	die met dat vierkan wat zo schuin staan en twee ding er uit steken en dat gleufje en die arm 
A: 	ja aan de zijkant steken een armpie uit 
A: 	en aan de voorkant zo'n lang 
A: 	ja 
A: 	ja 
B: 	ja dat zijn die met die ruit 
B: 	ruiten en de bliksemschicht erdoorheen 
B: 	ja 
B: 	ja ja ja 
A: 	veertien 
B: 	ja 
B: 	D 
B: 	ja wat zijn dit ? die ruit met de bliksemschicht 
