B: 	die mij zien er soort van uit als een wijnglas 
B: 	met erop of erin 
B: 	gespiraald stang eronder 
B: 	het zijn een driehoek met een spiraal en dan daarboven de emmer 
A: 	ja 
A: 	ja aan de linkerkant 
A: 	dat zijn dertien 
B: 	d 
A: 	eens even kijken 
A: 	dit zijn de het kopvormp met daaronder dan die spiraal eindigen in de driehoek 
A: 	met daarbovenop twee blok 
A: 	en het 
A: 	ja aan de linkerkant 
B: 	dit zijn het wijnglas 
B: 	à 
B: 	dit zijn het wijnglas 
B: 	g 
A: 	ja 
A: 	ja ik hebben hem met de blok aan de bovenkant 
A: 	ja negen 
A: 	dit zijn die met de twistervorm aan de onderkant met de driehoek 
A: 	ja 
A: 	ja tien 
A: 	dit zijn die met de twistervorm aan de onderkant 
A: 	en de driehoek 
