B: 	ik vinden het een theekopje op een statief en dat hebben dan een driehoekig voetstuk 
B: 	en dan een draaien stang die het theekopje omhooghouden 
B: 	ja twee 
B: 	ja 
A: 	net 
A: 	blok op en dan en nog iets aan de zijkant ja 
A: 	ja ok nee dat zijn dan nummertje vier 
A: 	ja dit zijn eigenlijk die mok die eigenlijk omhoog gaan of zoiets wat je zeggen 
A: 	die kampioen mok achtig weer ja ja ja 
B: 	ja 
B: 	met het statief 
B: 	ja 
B: 	A 
B: 	het statief 
B: 	het theekopje op het statief 
B: 	met die vier 
B: 	nee nee met de driehoek aan de onderkant 
B: 	ja 
A: 	ja nou dan hebben ik die al vinden dat zijn dan nummertje tien 
B: 	ja 
B: 	driehoekstatief 
B: 	ja 
B: 	L 
A: 	dit zijn die trofee 
B: 	het driehoekstatief 
B: 	ja 
B: 	ja F 
A: 	o ja 
A: 	nummer vier 
A: 	nou ja dit zijn de trofee 
A: 	ja 
