A: 	ja 
A: 	oké ik vinden dit een soort hamer 
A: 	want het hebben zo'n er lopen zo'n balk helemaal erdoorheen 
A: 	alleen de hamer liggen zeggen maar met de kant waarmee je slaan een beetje omhoog en er zitten dan nog een gek ding achter waarvan ik geen idee hebben 
A: 	onder 
A: 	nee niet onder 
A: 	even kijken welk jij bedoelen 
A: 	nee 
A: 	nee 
A: 	nee er zitten best wel een langwerpig buis lijken het doorheen hij zijn rechts iets lang dan links 
A: 	en dan zitten er linksachter zitten er nog een soort plaa achter en dan lijken het wel alsof het een een kaart zijn of zo van 
A: 	ja precies 
A: 	ja 
B: 	ja 
B: 	ik noemen het een schans 
B: 	kloppen dat 
B: 	ok 
B: 	en dat ding dat lopen door lijken het 
B: 	ja 
B: 	nee ja hij zijn wel een beetje scheef 
B: 	kloppen 
B: 	ok dan zijn het K 
A: 	die dat vlak onderop 
A: 	die hamer 
A: 	ja dan zijn het negen 
A: 	dit zijn die hamer 
A: 	de hamer met de ja die 
A: 	ja precies 
B: 	dit zijn weer met die soort spijker door het heel kop heen met die schans 
A: 	je bedoelen de hamer 
A: 	ja dat zijn de Hamer inderdaad 
A: 	dus drie 
B: 	ja dat zijn voor mij F 
A: 	ja 
A: 	ik twijfelen even 
A: 	de Hamer 
A: 	met het de de hoe heten het 
A: 	ja 
A: 	ja 
A: 	waar staan die bij jou 
A: 	ja 
A: 	vijf 
B: 	dit zijn die spijker die door het heel kop heen gaan en met die schans 
B: 	ja dat zijn voor mij L 
B: 	dit zijn met die spijker er doorheen en die schans 
