A: 	ja 
A: 	ik vinden het een soort ruimteschip 
A: 	hij hebben ook nog een antenne 
A: 	ja 
A: 	dan zijn het 
A: 	ja precies dan zijn het twee 
B: 	ok dit zijn die telescoop wat je zeggen alleen met twee ding 
B: 	en dan het vlak rechts zitten er op en dan bovenop zitten er nog een soort spijker 
B: 	ja 
A: 	check 
A: 	dit zijn dat ruimteschip 
A: 	met die twee torent blokkentorent erin een antenne en een ja en een soort tv of zo gewoon een vierkan aan de voorkant 
A: 	een een vlak 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn een ruimteschip 
A: 	negen 
A: 	het ruimteschip met de Antenne bovenop en de twee blokkentorens die erin steken aan de linkerkant 
B: 	ja dat zijn voor mij G 
B: 	ok dit zijn met de telescoop twee ding een vierkant vlak en één spijker bovenop 
A: 	ja 
A: 	één 
A: 	oeh ik zeggen het bijna niet 
A: 	ruimteschip 
A: 	ja 
B: 	ja dat zijn voor mij d 
B: 	dit zijn met twee telesco één vierkant en een spijker 
B: 	ja dat zijn voor mij B 
