B: 	aan de rechtervoorkant zitten een soort van bolle en daar zitten niks aan 
B: 	aan de bovenkant zitten één een rechthoekig langwerpig uitsteeksel 
B: 	dat toren 
B: 	en aan de linkerkant zijn een soort van gek vormp dat ook 
A: 	ah ja 
A: 	ja 
A: 	ja en dan één die zijn wel verschillend aan de bovenkant 
A: 	ja oké dat zijn tien 
B: 	ja ja 
B: 	c 
A: 	nou dit zijn met die ei aan de voorkant 
A: 	of de bal aan de voorkant en aan de linkerkant soort van driehoekig 
B: 	ik hebben die soort van dat ballet voorop 
B: 	dan dat een heel gek voorwerp en die lang recht staaf dat 
B: 	ja bovenop hoe noemen je die ook alweer 
B: 	ja ja dobberen ja ja 
B: 	ja waar zijn 
B: 	waar zitten die 
A: 	ja ik zoeken hem even eigenlijk 
B: 	stom 
B: 	ah l 
A: 	ei rechterkant en dan zo'n driehoekig ding dat uitsteken aan de linkerkant toch 
A: 	ja 
A: 	ja oké dat zijn acht 
B: 	ik hebben de dobber bovenop 
B: 	de dobber 
B: 	zijn even bezig met zoeken ah n 
A: 	ja dit zijn met dat ei aan de zijkant en twee van die gek ding aan de bovenkant en dan nog één aan de linkerkant waar , zo'n driehoek aan de linkerkant 
A: 	driehoek 
A: 	ja 
A: 	ei aan de voorkant zijn het toch 
A: 	ja oké twee van die ding boven ja 
A: 	dat zijn vijfteen 
A: 	ja dit zijn weer met die ei aan de zijkant en dat driehoekig balkachtig ding aan de linkerkant 
