A: 	een neusvormig neus aan de linkerkant 
A: 	met zo'n raar vulkaanding op zijn hoofd 
A: 	en dan twee van die uitsteeksel 
A: 	die een beetje uitzien als een onderzeeër dat ding met zo'n 
A: 	nee met zo'n echt zo'n balk en daarnaast een soort van omgekeerd hamertje of zo aan de zijkant plakken 
A: 	oké 
A: 	dat zijn nummer acht 
B: 	oké ik hebben ja het één wat ik zien zijn een beetje vogelachtig hij hebben bovenop een rechthoek 
B: 	aan de zijkant 
B: 	ja 
B: 	en dan aan de voorkant die 
B: 	ja met dat steel erbovenop 
B: 	ja 
A: 	dit zijn die een met die neus met die balk op zijn hoofd 
A: 	even zoeken 
A: 	ja met die balk ja dat zijn één 
B: 	ja ja 
B: 	ja ja ik hebben hem ik hebben hem 
B: 	dat zijn E 
A: 	dit zijn het gezicht met die balk erop 
A: 	op zijn hoofd 
B: 	dit zijn de Pinguïn Vogel 
A: 	ja even zoeken 
A: 	waar staan die 
A: 	ja nummer zestien 
A: 	ja 
A: 	hebben je een neus met de balk 
B: 	ja 
B: 	ja dat zijn E 
B: 	dit zijn de vogel 
B: 	Pinguïn Vogel 
B: 	ja dat zijn O bij mij 
