A: 	ja ah en dan aan de zijkant die die oor die zitten dan een beetje laag en aan de voorkant zo'n neus met een gek rond en zo'n 
A: 	oké ja 
A: 	oké acht 
B: 	dit lijken een beetje op een soort WALLErobo 
B: 	met een balk staan erbovenop 
B: 	en het lijken net alsof die zo iets vasthouden 
B: 	met een heel lang cilindertje erop 
A: 	even kijken 
A: 	hoe hebben we die noemen 
A: 	ja jij hebben die uitleggen maar ik weten 
A: 	ja ik hebben het als een soort raket uitleggen maar dat zijn heel dom maar echt je hebben aan de jij hebben het als de mens uitleggen met die oor die heel laag zitten en de neus en 
A: 	Blok bovenop ja 
A: 	dus we noemen het menshanenkam of zo 
A: 	dat vierkant ding vinden ik wel een hanenkam 
A: 	ja prima 
B: 	met het 
B: 	bedoelen je met het vierkant vlak erachter op een standaard 
B: 	ja zeggen maar de de beker 
B: 	ja dat zeggen maar als je hebben winnen zo'n trofee 
B: 	en hebben die zo zo'n hand zo met een cilinder erop 
B: 	oké ja 
B: 	dat zijn E 
A: 	Hanenkam yes 
A: 	één 
B: 	dit zijn de serveerster die zo met 
B: 	nee 
B: 	maar volgens mij hebben ik ook een keer WALLErobotpoppetje zeggen 
B: 	bij deze bovenop een 
B: 	ja met een cilindertje en bovenop een ja een lang hoe heten dat ? een rechthoek zo'n lang vlak 
B: 	ja 
B: 	ja noemen we die WALLE als codetaal 
B: 	ja 
A: 	de hanenkam 
A: 	ja 
B: 	WALLE 
B: 	even kijken waar zijn WALLE 
B: 	ja 
B: 	E 
A: 	de hanenkam zestien 
B: 	ja 
B: 	dit zijn volgens mij hebben we deze WALLE noemen zo met hand 
A: 	ja shit 
A: 	de hanenkam 
B: 	WALLE zijn staan die bij jou ook link onderin 
