A: 	top 
A: 	ok hij hebben een beetje een neusje 
A: 	dus eigenlijk een ovaal aan de voorkant of een beetje schuin aan de voorkant en daar zitten eigenlijk een ja stok doorheen en die hebben dan weer een rond aan het uitein 
A: 	aan de bovenkant van het kop hebben je eigenlijk weer dat lepeltje er zitten ver ook niks aan de bovenkant je zien ook niks aan de achterkant 
A: 	ja 
A: 	aan het uitein 
B: 	ook en dan ook met zo'n een staafje 
B: 	ja 
B: 	oké 
B: 	ja dan zijn het bij mij F 
A: 	o ja dat 
A: 	en één dinge aan de bovenkant dat zijn vijf 
B: 	ik hebben nou weer die een ook weer met zo'n een bolle aan de voorkant zeggen maar met zo'n staaf erdoorheen en dan weer een 
B: 	aan de einde van de staaf ook zo'n rond zeggen maar 
B: 	wat jij net een zuignap noemen 
B: 	ja 
A: 	ja dit zijn ook weer met die neus alleen zitten er dan zo'n stok doorheen met een rond aan het uitein 
A: 	ja dat zijn vijf 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	ja dit zijn die weer die neus met de stang er doorheen 
B: 	weer die een zuignap zeggen maar met dat dat rond en dan die staaf erdoorheen en 
B: 	oké 
A: 	zijn vijftien 
B: 	ja bij mij zijn dat H 
B: 	die een met die zuignap zeggen maar dat rond en dan 
