B: 	denken ik ook 
B: 	zijn dat wat ik een beetje op een olifant vinden lijken met ook van die driehoeken erbovenop en dan 
B: 	nou misschien lijken het 
B: 	ja dat zijn het wel 
B: 	nou ja 
B: 	nou het lijken niet op een olifant ik denken eerst een kat zeggen maar met zo'n 
B: 	het zijn hem in ieder geval 
A: 	dit vinden ik zelf een beetje een apart ik hebben het idee dat er een soort van toffeesnoep snoepjespapier op zijn 
A: 	op zijn hoofd zitten en dan zitten er een soort van Staafneus die eruit komen aan de onderkant zitten er een soort van ja wat zijn dat ? een soort van ding wat eruit komen ja 
A: 	een een een haak of zo of iets 
A: 	maar laten we eerst met de bovenkant beginnen de bovenkant zijn dus zijn dus twee van die vierkant die zo tegen elkaar aan zitten waar dan een soort van snoeppapierwrapping uit komen 
A: 	zo zien ik het een beetje 
A: 	snapen je wat ik daarmee bedoelen te zeggen een soort toffee 
A: 	ja ja maar hij hebben aan de maar dat gaan naar voren toe 
A: 	ja en dan hebben die zo'n soort van staaf naar voren toe 
A: 	en dan aan de linker of aan de rechterkant hebben die zo'n soort van arm of iets 
A: 	ja en aan de bovenkant zitten dus dat soort van snoeppapier 
A: 	het zijn een beetje alsof je trekken en dan trek je hem zo uit elkaar 
B: 	het zijn die met de dinge aan de onderkant waarvan ik vinden dat het een olifant zijn maar wat bij nad inzien niet op een olifant lijken 
B: 	ja hier hebben die een stok 
B: 	als je het interpreteren als een mens 
A: 	ja ja ja ik weten hem ik weten hem 
A: 	dat zijn nummer negen 
B: 	waar zijn die 
B: 	ja H 
B: 	het zijn die olifant 
B: 	wat ik een olifant vinden 
A: 	dit zijn die een met die snoep wrap met die toffee aan de bovenkant 
A: 	ja met daaronder zo'n raar uitstulpink 
B: 	D 
A: 	ja ik zien hem 
A: 	toffee zijn nummer elf 
B: 	het zijn de olifant die zitten bij mij 
A: 	die een met die toffee op zijn hoofd 
A: 	ja nummer twee 
