A: 	oei dit vinden ik een lastig 
A: 	er steken één ding omhoog en die beginnen smal en die worden steeds breder en dan zijn die weer smal 
A: 	en er steken drie ding eruit aan de zijkant 
A: 	waaronder één zo'n vierkant blok 
A: 	hetzelfde als wat boven zeggen maar dat ding 
A: 	en achter nog zo'n een een krulletje 
A: 	en het zijn een pot hij staan op niks of zo zeggen maar 
A: 	wat naar boven eruit steken en de een kant aan de zijkant zijn hetzelfde 
A: 	en dan hebben je nog twee ander dinge ernaast 
B: 	oké event kijken 
B: 	kunnen je nog iets veel beschrijven 
B: 	even 
B: 	plat kant 
B: 	nee ik denken dat ik dit heel anders hebben beschrijven toen 
B: 	even kijken 
B: 	welk vormp hebben die op zijn hoofd 
B: 	ja oké 
B: 	oké helemaal in het midden bovenop 
B: 	of niet 
B: 	ja en aan de zijkant zeggen maar zijn zo'n vierkant en dat gaan dan steeds klein zeggen maar 
B: 	ja 
B: 	E 
A: 	even denken hoor bovenop wat dat zijn 
A: 	even denken 
A: 	en nee smal breed 
A: 	alsof er een wolkenkrabber doorheen zijn 
A: 	ja kloppen 
A: 	en aan de achterkant hebben je nog zo'n zo'n dinge 
A: 	ja 
A: 	elf 
B: 	oké deze hebben zeggen maar Hierbovenop veel zo'n waterdruppel 
B: 	en aan de zijkant ook een waterdruppel 
B: 	ja 
A: 	dit zijn die wolkenkrabber die erin zijn Geboord 
A: 	en boven aan de zijkant hebben je zijn dezelfde wat erin zitten 
A: 	en er zitten achter nog een staart of iets of zo 
A: 	ja kloppen 
B: 	even kijken 
B: 	ja met die hier en hier 
B: 	ja 
B: 	J 
A: 	ja ik zitten te kijken 
A: 	ja ik zien hem 
A: 	negen 
B: 	die met die druppel hier en druppel hier en dan die blok zo aan de ander kant 
B: 	ja 
B: 	even zoeken 
B: 	ja 
A: 	dit zijn de de wolkenkrabber die 
A: 	erin zijn boord en dan hebben je nog twee zo eruit steken en achter nog een staart of zo 
B: 	die druppel boven en aan de zijkant en aan de ander kant die blok 
A: 	even kijken waar staan je 
A: 	in die arm toch 
A: 	ja 
A: 	dertien 
