A: 	ok deze hebben een isteken aan de zijkant 
A: 	ja die afsnijden zijn of zo 
A: 	ja 
B: 	ja 
B: 	ja dan 
B: 	ja 
B: 	zitten zo'n dinge nog bovenop 
B: 	ja 
B: 	oké 
B: 	dat zijn B 
A: 	met dat isteken 
A: 	ja 
A: 	twee 
B: 	ja volgens mij zijn dit ja die adapter met die dat isteken in ieder geval 
B: 	hij 
B: 	ja er zitten eigenlijk een soort half piramide op met waar de bovenkant zijn af ja ja 
A: 	deze met het isteken en dat afsneden 
A: 	ja 
B: 	ja 
B: 	M 
A: 	negen 
A: 	met dat isteken en dat afgekapte hoedje 
B: 	ja dit zijn die adapter 
A: 	zes 
B: 	ja dat zijn F 
B: 	dit zijn de adapter 
