B: 	oké ik hebben er één die hebben een soort van lang balkje bovenop 
B: 	een langwerpig balk 
B: 	die liggen er plat bovenop 
B: 	en aan de zijkant hebben die een soort van rond soort van 
B: 	dat niet 
B: 	hij hebben geen graafarmp 
B: 	nee het zijn echt een soort van een soort van 
B: 	ja 
B: 	oké 
B: 	ja precies stok en dan zo'n driehoekje 
B: 	ja oké nee sorry dan denken we wel aan dezelfde 
A: 	en twee van die voet aan de zijkant 
A: 	oké 
A: 	dat zijn nummer acht 
B: 	wachten wat hebben hij bovenop 
B: 	dat balk 
B: 	ja 
B: 	en dan dat dun dinge aan de zat dan aan de zijkant zo 
B: 	ja 
B: 	ja 
B: 	oké ja dat zijn E bij mij 
B: 	die zijn wel lastig 
B: 	ja 
A: 	ik hebben die een met zo'n balk op zijn hoofd 
A: 	met die voet aan de zijkant 
B: 	weer dat balkje bovenop 
B: 	met dat soort van rond hier 
B: 	en dan dat dun dinge 
B: 	yes 
A: 	ja dat zijn nummer één 
B: 	yes 
B: 	ja dat zijn E bij mij 
B: 	het zullen het zijn vier zeggen je net of niet 
B: 	ja maar dat zullen dan vijf zijn toch A B C D E 
B: 	dat zullen wel makkelijk zijn trouwens als we dat ja 
B: 	goed bedenken 
B: 	ja precies 
B: 	misschien iets te makkelijk 
A: 	deze met de balk op zijn kop met de twee voe 
B: 	toppie 
B: 	weer met dat balkje bovenop met dat soort van Ronde armpje aan de zijkant 
B: 	soms zijn dat ja precies 
B: 	je kennen ze allemaal zo goed 
A: 	met de twee voe 
A: 	dat zijn zestien 
B: 	oké 
B: 	ja 
B: 	even kijken ja dat zijn O bij mij 
A: 	de balkje met de twee voe 
