A: 	ja zo'n 
A: 	ja 
A: 	ja die hebben ik 
A: 	zijn nummer dertien 
A: 	moeten ik dan op een geel knop drukken 
B: 	dus nou mogen we praten toch 
B: 	ok het zijn er zeggen maar één met een schijf achter het koje en link steken een staafje uit 
B: 	ja niet echt een bol zeggen maar maar veel een gewoon één rond vlak en je zien hem maar voor de helft hij zitten er zeggen maar achter verstoppen 
B: 	en er steken rechtboven ook nog iets uit 
B: 	hoe bedoelen je er in 
B: 	ja je uitzien aan de linkerkant van het soort van kopje iets uitsteken 
B: 	en achter het kop zien je zeggen maar een half half rond 
B: 	en rechtsboven in het kop zullen je kunnen zeggen steken nog iets uit een soort van ja leeg ballon 
B: 	ja op soort van blok iets in die richting 
B: 	ja 
B: 	ja 
A: 	dit zijn degeen met zo'n stokuitteeksel en zo'n ja soort van kegeltje zo 
A: 	en daar zitten ook nog een cirkel aan de achterkant 
A: 	die kunnen je niet helemaal zien 
A: 	en hij staan op een er zitten ook nog niets onder 
B: 	die verstoppen ja 
B: 	en dan zo'n uitstekend dinge link 
B: 	ja zijn O 
A: 	we gaan weer veranderen wat leuk 
A: 	ja ik weten welk je bedoelen even zoeken 
A: 	ja ik hebben hem 
A: 	achten 
B: 	het zijn veranderen ja 
B: 	het zijn zegmaar die met zo'n ballonne eruit en weer zo'n half schijf er achter die er achter verstopt zitten en link steken een dinge uit aan de onderkant zitten dat gek blok 
A: 	dit zijn degeen met de hoe hoe noemen je deze ook alweer 
A: 	er zitten zo'n zo'n uitsteekselt en zo'n stok 
A: 	en het rond achter 
A: 	die je niet helemaal kunnen zien 
A: 	ja 
A: 	zijn zo'n blok veel toch 
A: 	en zo'n 
A: 	oké 
A: 	ja zeven 
B: 	aan de linkerkant 
B: 	C 
B: 	zegmaar ballonnetje er uit een blok links en half schijf aan de achterkant en dan onder zo'n gek blok waar hij op staat 
B: 	en dan zo'n schijf wat je half zien aan de achterkant en link steken er weer zo'n rond blok uit 
B: 	ja met dat gek blok aan de onderkant 
A: 	dit zijn diegene met de half cirkel achter en de kegel bovenop 
A: 	kijken 
A: 	nee ik denken het niet 
B: 	aan de linkerkant ja C 
B: 	Jeuj 
