A: 	ok 
A: 	ok deze hebben twee uitstekel zo een soort van ja balk en dan zitten er aan allebei de kant een rond 
A: 	op en aan de achterkant hebben hij zo'n vierkant plateauding 
A: 	ja alles met fantasie hier maar ja ja ik ik denken het wel ja 
A: 	bij mij tien 
B: 	met een soort van spijker 
B: 	ik noemen dit 
B: 	ja ik zijn het zeggen maar een soort van een ja een spijker wat in zo'n vormp worden slaan of niet 
B: 	met een ronde rond plateau 
B: 	nee dan hebben we het niet hetzelfde 
B: 	ja 
B: 	ja 
B: 	er er staan iets 
B: 	hebben het ah wachten even ik denken dat het de ander zijn 
B: 	zijn het een beetje stompe zijkant zeggen maar met een bol 
B: 	ja 
B: 	dan weten ik denken ik wel met een met een vierkant vlak wat er zo op staat 
B: 	ja 
B: 	ja je noemen het de gieter toch net 
B: 	ja en aan de ander kant eigenlijk het dubbel ervan anderhalf 
B: 	ja 
B: 	een soort van knop op de staaf 
B: 	ja 
B: 	nee dan hebben we het over K 
A: 	ja 
A: 	ja aan de achterkant dat gewoon even voor de zekerheid dat rechthoekig of vierkant plateau ding met nog een dinge er aan ja bij mij zijn dat negen 
A: 	ok 
A: 	ok dit zijn die honkballer 
A: 	zeven 
B: 	dit zijn zeggen maar met dat afdak wat ik de gieter vinden de de statieven met die knop aan de zijkant 
B: 	ja 
A: 	ja 
A: 	ja dat zijn drie 
B: 	ik weten welk je bedoelen 
B: 	ja dat worden dan F 
B: 	dit zijn het afdak 
B: 	we hebben weer ander ronde hoelang ? duren zes ronde toch 
A: 	dit zijn de honkballer 
A: 	ja veertien 
A: 	even zoeken waar die staan ik moeten even wennen als het opeens een nieuw scherm zijn zeggen maar 
A: 	ja ja ik zien hem zijn vijf bij mij 
B: 	ja dan gaan het om L 
B: 	dit gaan om het afdak met de knop 
