A: 	deze zitten hebben een driehoek bovenop 
A: 	en aan de linkerkant zitten er iets in wat ja met een heel klein punt zitten die erin vast 
A: 	en aan de voorkant steken ook nog een ding uit 
A: 	ja 
A: 	ja dat zijn de enig met een driehoek erbovenop 
B: 	ja en er zitten zo'n ja soort isteken aan de een kant zeker 
B: 	ja 
B: 	dan zijn dat wachten 
B: 	dat zijn J 
A: 	ja dan zijn het zes 
A: 	dit zijn die met die tent bovenop en die scherp ding aan de zijkant 
B: 	dit zijn dat feestmuts met die blok en zo 
B: 	ja ja 
B: 	ja 
A: 	ja dat zijn tien 
B: 	papier hoedje 
B: 	ja 
B: 	ja 
B: 	E 
A: 	dit zijn die met die tent bovenop en dat klein insteeksel 
A: 	ja 
A: 	dat zijn tien 
B: 	dit zijn het papieren hoedje 
B: 	feesthoed ja 
B: 	ah 
B: 	G 
B: 	de feesthoed 
