A: 	ja 
A: 	ja 
A: 	ja en twee torent in de lucht 
A: 	ja 
A: 	inderdaad hij doorboorsen eigenlijk een beetje de grond 
A: 	zo hebben ik het dat zijn bij mij zes 
A: 	dus nou zes en geel 
B: 	dan zijn ik weer 
B: 	even kijken hoe gaan ik dit uitleggen ? als je weer het kop hebben zeggen maar de vorm van het kop 
B: 	dan gaan er een vierkant plaat gewoon recht doorheen 
B: 	aan de bovenkant steken twee klein pinnet uit 
B: 	link steken een een soort haak uit 
B: 	ja 
B: 	en een soort glijbaan aan de voorkant ja 
B: 	ja met het soort glijbaan 
B: 	ja dat zijn C voor mij 
B: 	deze hebben de plaat die hem doormidden scheiden als het zijn met het glijbaan en de twee punt bovenop 
A: 	dit zijn met die slurf en die twee tentakel omhoog 
A: 	en ja waar die eigenlijk de grond doorboort dus je hebben zo'n zo'n plat vlak en daar zitten die half boven half onder 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	welk hebben je 
B: 	ja 
B: 	dat zijn J voor mij 
A: 	dit zijn de slurf en de basisvorm die doorboort de grond twee tentakel in de lucht en nog één 
A: 	aan de zijkant 
B: 	en dit zijn weer met de vierkant plaat erdoorheen en de glijbaan 
B: 	en twee punt bovenop 
A: 	ja 
A: 	dat zijn negen 
B: 	nee dat zijn N 
A: 	dit zijn met de slurf en die ook de grond Doorboort 
