A: 	ah 
A: 	zitten er ook een soort balk aan de bovenkant dwars doorheen 
A: 	een soort plaat 
A: 	ja dan zijn het duidelijk nummer vijf 
B: 	okee 
B: 	deze ik moeten bij deze wel een beetje denken aan een soort kop met een staart aan de achterkant 
B: 	en aan de voorkant zijn het net alsof die een soort van alsof die in een tafel hangen 
B: 	met een omdraaien piramide op het tafel 
B: 	afsnijden 
B: 	ja dus kenmerken zijn hiervoor wel een beetje een staart aan de achterkant en een soort tafel aan de voorkant 
A: 	dit zijn weer de plaat die bovenaan van het beker erdoorheen zijn geschoven 
B: 	en het zijn niet degeen met het rond tafeltje 
A: 	ja daaronder ja 
B: 	nee het zijn zonder een tipiten 
B: 	ja ja 
B: 	ja een kop met linksachter een soort staar 
B: 	ja 
B: 	ja precies 
B: 	even kijken 
B: 	ja 
B: 	ja je zien twee poo inderdaad en dat zijn het tafel 
B: 	ja ja precies 
A: 	ja 
A: 	dat zijn nummer tien 
B: 	ja 
B: 	okee dat zijn p 
A: 	dit zijn de plaat die aan een soort tafel inderdaad die aan de bovenant van het beker met het met een soort ja kapstok 
A: 	de kapstok 
A: 	ja 
A: 	zes 
B: 	dit zijn degeen met een klein staart aan de achterkant en een tafel aan de voorkant met een schaal 
B: 	erop 
B: 	where did it go ja 
A: 	ja 
A: 	dit zijn het tafel wat door het beker heen zijn met het kapstok 
B: 	ja 
B: 	zoeken zoeken zoeken zoeken waar zijn je 
B: 	dat zijn voor mij n 
B: 	hee ze verspringen 
B: 	ik hebben hier een diegene met dat staart aan de achterkant 
B: 	en een een tafel aan de voorkant met een schaaltje erop 
B: 	ja 
B: 	dat zijn d 
