B: 	ja 
B: 	J 
B: 	deze hebben de pyramide bovenop 
B: 	ja b 
A: 	even kijken dat zijn wel het beker met het driehoekje daarboven 
A: 	wat zeggen maar wel echt een tipitent zijn 
A: 	aan de rechterzijde zijn er een soort gek blok wat eraan vastgeplakt zitten 
B: 	dit zijn die met die pyramide boven bovenop 
A: 	aan de linkerzijde zijn er ook een vormp wat een beetje op een driehoekje lijken en daaronder zijn een soort cirkelachtig iets 
A: 	wat plakken zijn 
A: 	ja 
B: 	à 
B: 	dit zijn degeen met de pyramide bovenop 
A: 	ja 
A: 	dus die helemaal tipitent 
A: 	of die afbreken 
A: 	helemaal 
A: 	okee dat zijn nummer dertien 
A: 	dit zijn de tipitent 
A: 	ja nummer een 
A: 	tipitent 
A: 	heel tipitent ja 
A: 	die zijn nummer zes 
