B: 	aan de het linkerkant en de rechterkant zitten drie soort van bollet niet helemaal bollet maar precies hetzelfde ja 
A: 	ja duidelijk 
A: 	met een rond 
A: 	ja 
A: 	ja 
A: 	en een rond voorop 
A: 	tien 
B: 	aan beide 
B: 	ja ja 
B: 	J 
B: 	ik hebben de met die twee die twee gelijkwaardig soort van bollet aan de aan de beide kant 
B: 	en zo'n plaat eronder 
B: 	ja ja drie van die bollet aan de beide zijkant 
B: 	die drie bollet aan de zijkant 
B: 	plaat eronder 
B: 	ja ja ja e 
B: 	J 
B: 	ik hebben die drie bollet aan de linker en de zijkant rechterkant 
A: 	ja deze zijn aan de onderkant hebben hij een vierkant , hij hij staan op een vierkant hij leunt echt op een vierkant 
A: 	ja 
B: 	ja 
B: 	f 
A: 	ja en die cirkelvormig aan de achterkant 
A: 	nummer achten 
A: 	deze zijn met het het vierkant als basis 
A: 	ja 
A: 	nummer achten 
A: 	cirkel aan de voorkant , vierkant onder als basis 
