B: 	krom 
B: 	hebben hebben hij bovenin een soort driehoek waar dat ding doorheen steken 
B: 	ja ok dan zijn het M 
A: 	ja deze vinden ik een beetje zijn een beetje raar 
A: 	deze even nadenken horen 
A: 	hij hebben zo'n soort van Lvormig aanhangsel aan de onderkant 
A: 	en die hebben hij ook aan de rechterkant 
A: 	dus het lijken een beetje alsof die zo'n spagaat doen achtig of als hij zijn been optillen 
A: 	ja 
A: 	ja en dan zitten er nog twee ruitachtig ding komen uit zijn hoofd of uit de bovenkant 
A: 	ja 
A: 	wachten even hoor dan moeten ik even zoeken waar het 
A: 	ja ja 
A: 	ja 
A: 	volgens mij weer met die blokkig ding achtig 
A: 	oké 
B: 	ja dit zijn weer diegene die zo'n hoek van negentig graad aanhangsel hebben onderin zeggen maar en die zitten er dan ook nog een keer aan de zijkant 
B: 	dan hebben je nog die staaf die uitsteekt en bovenin hebben je die diamant of zo of die die ruit waar dat 
B: 	waar dat ding doorheen gaan ja 
A: 	ja 
A: 	ja 
A: 	soort van alsof die aan het schaatsen zijn 
A: 	ja negen 
A: 	oehgen bijna 
B: 	die 
B: 	o ja 
B: 	die ruit waar die blok 
B: 	ja doorheen gaan dan zijn dat H 
A: 	dit zijn weer die die twee rui met die twee oud camera erin 
B: 	deze hebben bovenop die ruit die doorboren worden en dan aan de zijkant hebben je nog van die ding in zo'n hoek en aan de onderkant ook en dan nog zo'n staafje erbij 
B: 	ja 
A: 	ja dat zijn elf 
A: 	zeggen ik het goed ? ja elf 
B: 	ja dat zijn dan D 
A: 	dit zijn weer die met die drie of die ruit met die twee oud camera erin 
A: 	die 
B: 	dit zijn weer diegene met die ruit waar die blok doorheen gaan zo'n uitsteeksel aan de onderkant dezelfde zitten aan de zijkant en een soort staaf die uitsteken 
B: 	ja 
A: 	ja dat zijn veertien 
