B: 	deze hebben een soort van plateau in het midden of er doorheen maar niet ja en dan in het midden en dan twee klein staafjes bovenop 
B: 	iets veel aan de rechterkant 
B: 	ook iets veel aan de rechterkant een slurf die naar het plateau gaan 
B: 	en aan de linkerkant zo'n zo'n armpje wat zo gaan 
A: 	ja twee okee dan weten ik het 
A: 	dat zijn nummer zeven 
A: 	hier hebben de hoofdvorm twee van die klein uitsteeksel bovenop 
A: 	hij hebben een plateau waar die in vastzit beetje onder het midden 
A: 	okee 
A: 	ja 
A: 	nummer achten 
A: 	deze hebben deze hoofdvorm hebben twee van die uitsteeksel bovenaan hebben een vierkant plateau om zich en een Schuine Buis lopen voor de hoofdvorm uit 
A: 	ja link hebben hij ook nog één met een hoekje erin 
B: 	en twee balk bovenop zitten een antenne 
B: 	ja 
B: 	ja 
B: 	dan zijn het f 
A: 	ja 
A: 	ja nummer tien 
B: 	dit zijn het plateau door het midden 
B: 	twee antenne bovenop 
B: 	het armpje aan de linkerkant en de slurf aan de rechterkant die eruit steken en op de plateau terechtkomen 
B: 	ja die een 
B: 	gewoon het houdertje zullen ik maar zeggen 
B: 	een tafel met twee poo 
B: 	soort van 
B: 	antennedinget 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	deze hoofdvorm hebben die zijn ingebouwd in dat in een vierkant plateau hebben twee uitsteekselt bovenop 
B: 	okee 
B: 	ja dat zijn k 
A: 	en link hebben hij nog één ja één 
B: 	even kijken het plateau door het midden 
B: 	twee antenne bovenop rechts een slurf en links een tetrisvormpje 
B: 	ja 
B: 	ja k 
