B: 	nee ? 
B: 	oké nou we gaan gewoon ver 
B: 	nou dit lijken echt zeggen maar een poppe met zo'n groot neus er zitten zo'n voorop zo'n groot bol cirkel 
B: 	alleen dan zonder piercing erdoorheen dus boven een dinge 
A: 	twee lepelt 
A: 	ik ik zitten de lepelt te zoeken 
A: 	ja en 
A: 	ja en dan hij hebben een driehoekig oor oor 
A: 	ja 
A: 	dan zijn het veertien 
A: 	hij hebben een rond neusje 
A: 	en twee verschillend oort en één armp 
B: 	ja een bol een bol neus voorop 
B: 	de bol neus zonder piercing 
B: 	met boven een balk aan de linkerkant een balkje 
B: 	oké dat zijn N 
A: 	en het 
A: 	ja 
A: 	negen 
B: 	een bol neus 
B: 	bovenop een soort kegel 
B: 	en een rechthoekje en aan de ander kant een soort ook iets 
B: 	ja de neus zonder piercing 
A: 	het met het rond neusje en die twee lepelt weer en dat kort armp 
A: 	ja 
A: 	vijf 
A: 	met die twee lepel en dat bollet weer met die neus 
A: 	en dat raar armp 
B: 	neus zonder piercing met hier en hier 
B: 	dat zijn G 
B: 	dit zijn de neus zonder piercing met boven een dinge aan de zijkant 
B: 	piercing zonder neus dat zijn J 
