B: 	een soort van 
B: 	een helling zijn het 
B: 	ja 
B: 	m 
A: 	oké dit zijn diegene met een half ja zo noemen ik half kegel erbovenop 
A: 	en zo'n gek dinge in de aan de zijkant dat uitsteken 
A: 	ja precies 
A: 	en links dan nog zo'n schijf klein rond schijf 
B: 	ik hebben bovenop hebben je die half pyramide 
B: 	en dan rechtsvoor zitten zo'n zo'n zo'n helling 
B: 	onderaan zitten een soort van balle of ik weten niet precies wat het zijn 
B: 	en aan de linkerkant zitten een een soort een kogel lijken het wel ja en steeds bred van 
A: 	ja ja ja ja 
A: 	ja ja ja dat zijn elf 
B: 	ja 
B: 	J 
B: 	ik hebben de de half pyramide bovenop 
B: 	en dan de de kogel aan de linkerkant 
B: 	en de aan de rechtsvoor zitten zo'n soort van een een sloop laten maar zeggen 
A: 	ja dit zijn weer met die half kegel aan de bovenkant en dat gek blok aan de rechterkant 
B: 	ja ja ja waar zitten die 
B: 	zijn die 
A: 	ja waar zijn hij 
A: 	ja oké 
A: 	een 
B: 	de half pyramide aan de bovenkant en dan de kogel aan de linkerkant 
A: 	dit zijn weer met die kegel erboven , half kegel erboven , en dat gek blok in de rechterkant 
A: 	ja groot balk aan de voorkant 
A: 	zoeken waar zijn hij 
A: 	ja ja aan de rechterkant toch 
A: 	ja oké drie 
