A: 	ik hebben volgens mij precies hetzelfde inderdaad en dan zitten er nog een soort van ander uithengsel ook 
A: 	en er zitten ja er zitten een bak ja 
A: 	ja ik hebben precies hetzelfde inderdaad zestien 
A: 	dit zijn de tafel die door het komme heen gaan 
A: 	met met ook met een bakje erop 
B: 	deze lijken alsof die een soort van half tafel aan de voorkant hebben dwars doorheen 
B: 	met twee poo 
B: 	en dan daarop staan een ja een nee ja piramidevorm eigenlijk op zijn kop 
B: 	en aan de achterkant nog een soort van staart 
A: 	oké ja dat zijn veertien 
B: 	ja 
B: 	ja 
B: 	dat zijn P 
A: 	dit zijn de tafel die erdoorheen zitten met het komme er ook op en dat dinge aan de zijkant nog 
A: 	ja met met ja ja die tien 
B: 	dit zijn die met die soort tafel met twee poot en omgekeerd piramide 
A: 	dit zijn de tafel met de bakkie erop die in de kom zitten 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn die met die soort tafel met twee poo erdoorheen 
B: 	en die piramide op zijn kop 
B: 	even kijken waar die zijn ja dat zijn D 
