B: 	ja deze hebben een plaat die op de grond zitten 
B: 	ja 
A: 	ja 
A: 	dat zeggen maar die drie soort van ruit zeggen maar aan elkaar plakken 
A: 	ja 
A: 	oké dat zijn nummer vijf bij mij 
B: 	dat zijn J 
A: 	dit zijn die een met die twee identiek vormp aan de zijkant zeggen maar 
A: 	met een groot 
A: 	blauw rechthoek of vierkant eronder en daar links dan nog weer zo'n boog uit en op de voorkant zitten ook een cirkel plakken met ook een boog eruit 
A: 	ja 
A: 	drie aan beide kant ja 
B: 	die met dat plank onderaan 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	die met dat plank onderaan 
A: 	deze hebben die drie dinget link en die drie dinget rechts en die plken schijf aan de voorkant met dat tuu en links dat 
A: 	tuu en aan de onderkant dat vierkant 
B: 	L 
A: 	oké 
A: 	dat zijn nummer negen 
A: 	dit zijn met die zes dinget drie link en drie rechts 
