A: 	ja weten ik 
A: 	achten 
B: 	deze hebben een vierkant plateau aan de onderkant 
B: 	ja 
B: 	ja van die antenne aan de zijkant ja 
B: 	ja 
A: 	ik hebben die een met aan allebei de kant die drie rond slash rui 
A: 	allebei de kant de drie van die klein bollet ruit het zijn maar net hoe je het zien 
A: 	drie van die bollet aan de zijkant 
A: 	ja 
A: 	vijf 
A: 	ik hebben die een met die drie bollet aan de zijkant 
A: 	met die plaat eronder 
A: 	met zeggen maar allebei aan allebei de kant die drie bollet 
A: 	ja zes 
B: 	ja 
B: 	dat zijn ja een cirkel aan de voorkant 
B: 	ja E 
A: 	ik hebben die drie bollet aan allebei de kant 
B: 	dit zijn de enig met die plateau aan de onderkant 
B: 	ja 
B: 	onderop 
B: 	ja ja 
B: 	dat zijn P 
B: 	dit zijn die vierkant eronder plateau 
B: 	ja 
B: 	O 
