B: 	ja en daarboven zitten nog een klein 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	yes 
A: 	oké nou ik zien rood vierkant om 
A: 	nou ja het zijn dus weer een kop met een bol die aan de voorkant aan de rechterkant zitten 
A: 	en door die bol heen zitten een een rechthoekig stok met een met daar ook een 
A: 	een cirkel aan aan de rechterkant 
A: 	en en er zitten aan de bovenkant een soort van ja een pluk 
A: 	naar de die naar de linkerkant gaan 
A: 	oké 
A: 	oké 
B: 	de inboorling 
B: 	ja dat zijn A 
B: 	ik hebben de inboorling 
A: 	ja 
A: 	en dan dat sprie aan de bovenkant 
A: 	ja oké dat zijn dus vijf voor mij 
B: 	je bedoelen de inboorling 
B: 	H 
A: 	oké dit zijn weer die een met met het sprie aan de bovenkant en de bol met met het ding erdoorheen 
A: 	oké 
B: 	ik hebben de inboorling 
A: 	ja 
A: 	dat zijn vijf 
A: 	oké dit zijn weer het bolle met het ding erdoorheen en het sprie 
A: 	yes 
A: 	ja 
A: 	vijftien 
