B: 	ja ja ja 
B: 	en dan hebben die 
B: 	ja en een fliebel aan de achterkant 
B: 	yes 
B: 	J 
B: 	dit zijn met de driehoekpunt bovenop het kop met die heel groot neus 
B: 	met het rond wiele link onderin 
B: 	puntmuts 
B: 	de puntmuts 
A: 	ok deze zijn met die piramide op zijn hoofd maar wel met de scherp punt en allemaal van die random blok en een soort 
A: 	potloodpunt aan de linkerkant zonder de rest van het potlood ja 
A: 	ok 
B: 	ja E 
A: 	ja 
A: 	met echt met die spits niet die afgevlakte 
A: 	en dan allemaal random ding er ja 
A: 	ja precies dat zijn nummer zes bij mij 
B: 	dit zijn de puntmuts 
B: 	ja met de groot neus 
A: 	dit zijn die met die scherp driehoek bovenop en die dat potloodpun aan de zijkant 
B: 	ja G 
B: 	de puntmuts 
B: 	met de groot neus 
A: 	ja dat zijn nummer tien 
A: 	dit zijn met die scherp driehoek bovenop met de potloodpunt 
A: 	ja dat zijn nummer tien 
