A: 	okee bij mij hebben je een bal voor de emmer 
B: 	even kijken 
A: 	en een de emmer zijn in het midden hebben je een bal erop 
B: 	zitten een lepeltje soort van achterin 
A: 	daar daardoorheen gaan een een balk 
B: 	soort staaf met een bolle erin en het eind eind uitein een cirkel 
A: 	dan hebben je ook nog een cirkel daar 
A: 	tweedimensionaal 
A: 	en zo'n klein uitsteekselt bovenop 
B: 	K 
B: 	ja 
A: 	okee 
A: 	zes 
B: 	zitten een lepeltje heel klein lepeltje naar achter en het staafje zitten voor op het kop met twee bollet één op het kop en een soort van cirkel aan het uitein 
A: 	deze hebben ook die balvorm maar die helikopter 
A: 	okee 
A: 	elf 
B: 	even kijken ja een staaf met twee bollet aan het uitein 
B: 	ja 
B: 	O 
A: 	de helikopter 
B: 	voorop twee bollet , één aan de uitein 
B: 	en een klein lepeltje 
B: 	achterin 
A: 	tien 
B: 	ja 
B: 	A 
B: 	balk voor 
B: 	bolle erop aan de zijkant rond 
B: 	klein lepeltje 
