A: 	ja het lijken op een tafel 
A: 	ja zo'n vierkant rechthoekding staan erbovenop 
A: 	ja een tafel ja ja 
A: 	ja vinden ik ook 
A: 	dat zijn nummer twaalf 
B: 	okee 
B: 	deze ik moeten bij deze wel een beetje denken aan een soort kop met een staart aan de achterkant 
B: 	en aan de voorkant zijn het net alsof die een soort van alsof die in een tafel hangen 
B: 	met een omdraaien piramide op het tafel 
B: 	afsnijden 
B: 	ja dus kenmerken zijn hiervoor wel een beetje een staart aan de achterkant en een soort tafel aan de voorkant 
B: 	en het zijn niet degeen met het rond tafeltje 
B: 	nee het zijn zonder een tipiten 
B: 	ja ja 
B: 	ja een kop met linksachter een soort staar 
B: 	ja 
B: 	ja precies 
B: 	even kijken 
B: 	ja 
B: 	ja je zien twee poo inderdaad en dat zijn het tafel 
B: 	ja ja precies 
A: 	deze zijn met die tafel met dat bak erop 
A: 	en dat die klein dinge nog links 
A: 	even zoeken daar ja dat zijn nummer twaalf 
B: 	ja 
B: 	okee dat zijn p 
A: 	dit zijn die met die tafel met dat bak erop 
A: 	yes dat zijn een 
B: 	dit zijn degeen met een klein staart aan de achterkant en een tafel aan de voorkant met een schaal 
B: 	erop 
B: 	where did it go ja 
A: 	dit zijn met de tafel met het bak 
B: 	ja 
B: 	zoeken zoeken zoeken zoeken waar zijn je 
B: 	dat zijn voor mij n 
B: 	hee ze verspringen 
B: 	ik hebben hier een diegene met dat staart aan de achterkant 
B: 	en een een tafel aan de voorkant met een schaaltje erop 
B: 	ja 
B: 	dat zijn d 
